Year,Tariff regime,PRODUCT,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2015,PRF,AGR,2015,NUMBER,TM_TAX_WMFN,3.82
2015,PRF,ALP,2015,NUMBER,TM_TAX_WMFN,8.7
2015,PRF,CLO,2015,NUMBER,TM_TAX_WMFN,19.55
2015,PRF,IND,2015,NUMBER,TM_TAX_WMFN,8.58
2015,PRF,OIL,2015,NUMBER,TM_TAX_WMFN,5.0
2015,PRF,TEX,2015,NUMBER,TM_TAX_WMFN,3.81
2015,MFN,AGR,2015,NUMBER,TM_TAX_WMFN,10.14
2015,MFN,ALP,2015,NUMBER,TM_TAX_WMFN,3.76
2015,MFN,CLO,2015,NUMBER,TM_TAX_WMFN,16.31
2015,MFN,IND,2015,NUMBER,TM_TAX_WMFN,3.84
2015,MFN,OIL,2015,NUMBER,TM_TAX_WMFN,0.0
2015,MFN,TEX,2015,NUMBER,TM_TAX_WMFN,2.31
2016,PRF,AGR,2016,NUMBER,TM_TAX_WMFN,3.06
2016,PRF,ALP,2016,NUMBER,TM_TAX_WMFN,8.65
2016,PRF,CLO,2016,NUMBER,TM_TAX_WMFN,19.53
2016,PRF,IND,2016,NUMBER,TM_TAX_WMFN,8.78
2016,PRF,OIL,2016,NUMBER,TM_TAX_WMFN,5.0
2016,PRF,TEX,2016,NUMBER,TM_TAX_WMFN,3.76
2016,MFN,AGR,2016,NUMBER,TM_TAX_WMFN,9.49
2016,MFN,ALP,2016,NUMBER,TM_TAX_WMFN,3.93
2016,MFN,CLO,2016,NUMBER,TM_TAX_WMFN,16.0
2016,MFN,IND,2016,NUMBER,TM_TAX_WMFN,4.35
2016,MFN,OIL,2016,NUMBER,TM_TAX_WMFN,0.0
2016,MFN,TEX,2016,NUMBER,TM_TAX_WMFN,2.27
2017,PRF,AGR,2017,NUMBER,TM_TAX_WMFN,4.18
2017,PRF,ALP,2017,NUMBER,TM_TAX_WMFN,9.58
2017,PRF,CLO,2017,NUMBER,TM_TAX_WMFN,19.71
2017,PRF,IND,2017,NUMBER,TM_TAX_WMFN,9.68
2017,PRF,OIL,2017,NUMBER,TM_TAX_WMFN,5.0
2017,PRF,TEX,2017,NUMBER,TM_TAX_WMFN,4.1
2017,MFN,AGR,2017,NUMBER,TM_TAX_WMFN,10.39
2017,MFN,ALP,2017,NUMBER,TM_TAX_WMFN,3.68
2017,MFN,CLO,2017,NUMBER,TM_TAX_WMFN,14.54
2017,MFN,IND,2017,NUMBER,TM_TAX_WMFN,3.58
2017,MFN,OIL,2017,NUMBER,TM_TAX_WMFN,0.0
2017,MFN,TEX,2017,NUMBER,TM_TAX_WMFN,2.2
