Year,AREA,Value
2000,West Bank,330.4
2001,West Bank,330.2
2002,West Bank,246.9
2003,West Bank,303.6
2004,West Bank,277.0
2005,West Bank,330.4
2006,West Bank,248.4
2007,West Bank,313.0
2008,West Bank,441.5
2009,West Bank,462.7
2010,West Bank,446.8
2011,West Bank,418.2
2012,West Bank,505.3
2013,West Bank,521.2
2014,West Bank,479.2
2015,West Bank,410.2
2016,West Bank,483.7
2017,West Bank,575.5
2018,West Bank,599.5
2019,West Bank,596.0
2000,Gaza Strip,314.4
2001,Gaza Strip,207.6
2002,Gaza Strip,147.0
2003,Gaza Strip,258.9
2004,Gaza Strip,219.0
2005,Gaza Strip,314.4
2006,Gaza Strip,164.5
2007,Gaza Strip,32.9
2008,Gaza Strip,51.4
2009,Gaza Strip,64.6
2010,Gaza Strip,218.9
2011,Gaza Strip,233.8
2012,Gaza Strip,197.2
2013,Gaza Strip,200.8
2014,Gaza Strip,156.7
2015,Gaza Strip,159.6
2016,Gaza Strip,150.8
2017,Gaza Strip,145.6
2018,Gaza Strip,94.3
2019,Gaza Strip,73.0
2000,Palestine,325.9
2001,Palestine,265.9
2002,Palestine,196.9
2003,Palestine,258.3
2004,Palestine,265.2
2005,Palestine,325.9
2006,Palestine,215.0
2007,Palestine,201.1
2008,Palestine,284.6
2009,Palestine,301.6
2010,Palestine,354.0
2011,Palestine,342.7
2012,Palestine,378.5
2013,Palestine,388.7
2014,Palestine,345.1
2015,Palestine,305.5
2016,Palestine,344.0
2017,Palestine,394.4
2018,Palestine,385.8
2019,Palestine,374.0
