Year,seriesdescription,geoarea,sex,age,urbanisation,unit,scale,Value
2016,SE_TRA_GRDL,716,_T,_T,ISCED11_02,Percent,1,50.5
2017,SE_TRA_GRDL,716,_T,_T,ISCED11_02,Percent,1,52.9
2016,SE_TRA_GRDL,716,_T,_T,ISCED11_1,Percent,1,97.2
2017,SE_TRA_GRDL,716,_T,_T,ISCED11_1,Percent,1,97.4
2016,SE_TRA_GRDL,716,_T,_T,ISCED11_2,Percent,1,80.1
2017,SE_TRA_GRDL,716,_T,_T,ISCED11_2,Percent,1,83.7
