Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,Value
2002,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,៥.៥.៣ សមាមាត្រនៃស្ដី្រជាសមាជិកក្រុមបឹ្រក្សាឃុំ សង្កាត់,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2018,9.4
2007,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,៥.៥.៣ សមាមាត្រនៃស្ដី្រជាសមាជិកក្រុមបឹ្រក្សាឃុំ សង្កាត់,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2018,15.1
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,៥.៥.៣ សមាមាត្រនៃស្ដី្រជាសមាជិកក្រុមបឹ្រក្សាឃុំ សង្កាត់,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2018,17.78
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,៥.៥.៣ សមាមាត្រនៃស្ដី្រជាសមាជិកក្រុមបឹ្រក្សាឃុំ សង្កាត់,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2018,13.93
