Value,Disaggregation combinations using this value,Number of indicators
Bethlehem,183,7
Dier Al-Balah,171,6
Gaza Strip,1666,60
Gaza,171,6
Hebron,183,7
Jenin,455,10
Jericho & AL Aghwar,183,7
Jerusalem,171,6
Khan Yunis,171,6
Nablus,240,8
North Gaza,171,6
PS,1938,63
Qalqiliya,240,8
Rafah,171,6
Ramallah & Al-Bireh,183,7
Salfit,240,8
Tubas & Northern Valleys,392,9
Tulkarm,240,8
West Bank,1666,60
