Indicator,Disaggregation combinations using this value
#1-a-2,1
#10-6-1,1
#16-1-1,3
#16-10-1,3
#16-10-2,1
#16-2-1,9
#16-2-3,36
#16-3-2,9
#16-5-2,1
#16-6-1,3
#16-8-1,1
#16-9-1,9
#16-a-1,1
#17-1-1,1
#17-1-2,1
#17-18-2,1
#17-3-2,1
#2-2-1,9
#2-2-2,9
#2-a-1,6
#2-c-1,1
#3-1-1,6
#3-1-2,3
#3-2-1,9
#3-2-2,9
#3-3-1,3
#3-3-2,3
#3-3-3,3
#3-3-4,3
#3-4-2,3
#3-6-1,9
#3-7-1,6
#3-7-2,6
#3-a-1,9
#3-b-1,36
#3-c-1,1
#4-1-1,9
#4-2-1,9
#5-2-1,6
#5-3-1,38
#5-5-1,9
#5-5-2,9
#5-b-1,9
#8-1-1,3
#8-10-1,1
#8-10-2,9
#9-2-1,3
#9-3-1,3
#9-b-1,3
