Value,Disaggregation combinations using this value,Number of indicators
Bethlehem,18,7
Dier Al-Balah,17,6
Gaza Strip,218,60
Gaza,17,6
Hebron,18,7
Jenin,32,10
Jericho & AL Aghwar,18,7
Jerusalem,15,6
Khan Yunis,17,6
Nablus,21,8
North Gaza,17,6
Palestine,232,63
Qalqiliya,21,8
Rafah,17,6
Ramallah & Al-Bireh,18,7
Salfit,21,8
Tubas & Northern Valleys,29,9
Tulkarm,21,8
West Bank,218,60
