Value,Disaggregation combinations using this value,Number of indicators
IX,127,2
NUMBER,3737,46
PER_1000_POP,15,1
PER_1000_UNINFECTED_POP,15,1
PER_100000_POP,51,1
PH,177,7
PT,5065,52
RO,30,1
