Indicator,Disaggregation combinations using this value
#1-1-2,12
#1-2-2,1
#10-3-1,12
#15-1-1,12
#16-1-1,17
#16-1-3,4
#16-1-4,6
#16-10-1,6
#16-2-1,6
#16-2-3,12
#16-3-1,4
#16-3-2,60
#16-5-1,36
#16-6-1,10
#16-6-2,3
#16-7-2,12
#16-9-1,18
#16-b-1,12
#17-19-2,10
#17-8-1,21
#2-2-1,30
#2-2-2,6
#3-1-1,10
#3-1-2,4
#3-2-1,18
#3-2-2,21
#3-3-1,5
#3-3-2,5
#3-3-3,5
#3-3-4,5
#3-4-1,4
#3-6-1,15
#3-7-1,4
#3-7-2,10
#3-a-1,15
#3-b-1,12
#4-1-1,3
#4-2-1,3
#5-2-1,6
#5-2-2,1
#5-3-1,8
#5-5-1,24
#5-5-2,60
#5-b-1,24
#6-1-1,12
#6-2-1,68
#7-1-1,56
#7-1-2,14
#8-1-1,20
#8-10-2,15
#8-2-1,18
#8-3-1,27
#8-5-1,456
#8-6-1,54
#8-7-1,228
#8-9-1,13
#9-2-1,20
#9-2-2,54
#9-3-1,19
#9-b-1,20
