Indicator,Disaggregation combinations using this value
#1-5-3,1
#1-5-4,1
#1-a-2,1
#10-3-1,36
#10-6-1,1
#11-b-1,1
#11-b-2,1
#12-4-1,1
#16-1-1,3
#16-1-4,9
#16-10-1,3
#16-10-2,1
#16-3-2,9
#16-5-1,36
#16-6-1,3
#16-6-2,9
#16-7-2,36
#16-8-1,1
#16-a-1,1
#16-b-1,36
#17-1-1,1
#17-1-2,1
#17-18-2,1
#17-18-3,1
#17-3-1,21
#17-3-2,1
#17-6-2,1
#17-8-1,9
#2-1-2,1
#2-a-1,6
#2-c-1,1
#3-1-1,6
#3-3-1,3
#3-3-2,3
#3-3-3,3
#3-3-4,3
#3-4-1,3
#3-4-2,3
#3-6-1,9
#3-b-2,1
#3-c-1,1
#4-3-1,12
#4-a-1,24
#5-5-1,9
#5-5-2,9
#5-b-1,9
#7-3-1,1
#8-1-1,3
#8-10-1,1
#8-10-2,9
#8-2-1,3
#8-5-1,72
#8-5-2,48
#8-7-1,36
#8-9-1,3
#8-a-1,1
#9-2-1,3
#9-3-1,3
#9-3-2,1
#9-b-1,3
