Value,Disaggregation combinations using this value,Number of indicators
0,76,1
2000,428,36
2001,336,33
2002,374,31
2003,393,31
2004,458,39
2005,419,36
2006,447,42
2007,447,38
2008,415,39
2009,484,43
2010,621,51
2011,514,48
2012,410,45
2013,466,49
2014,608,56
2015,464,58
2016,364,60
2017,641,68
2018,519,60
2019,327,49
2020,6,1
