Year,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2015,West Bank,N,2015,SH_TBS_INCD,NUMBER,0.52
2016,West Bank,N,2016,SH_TBS_INCD,NUMBER,0.33
2017,West Bank,N,2017,SH_TBS_INCD,NUMBER,0.39
2018,West Bank,N,2018,SH_TBS_INCD,NUMBER,0.42
2019,West Bank,N,2019,SH_TBS_INCD,NUMBER,0.41
2015,Gaza Strip,N,2015,SH_TBS_INCD,NUMBER,0.77
2016,Gaza Strip,N,2016,SH_TBS_INCD,NUMBER,2.07
2017,Gaza Strip,N,2017,SH_TBS_INCD,NUMBER,2.08
2018,Gaza Strip,N,2018,SH_TBS_INCD,NUMBER,0.98
2019,Gaza Strip,N,2019,SH_TBS_INCD,NUMBER,0.3
2015,PS,N,2015,SH_TBS_INCD,NUMBER,0.61
2016,PS,N,2016,SH_TBS_INCD,NUMBER,1.05
2017,PS,N,2017,SH_TBS_INCD,NUMBER,1.1
2018,PS,N,2018,SH_TBS_INCD,NUMBER,0.65
2019,PS,N,2019,SH_TBS_INCD,NUMBER,0.37
