Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,TIME_DETAIL,Value
2016,D187,BI,_T,_T,_T,_T,Percent,2016,86.3
2014,D188,BI,_T,_T,_T,_T,Percent,2014,79.5
