Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2010,DC_ODA_BDVL,BI,_T,_T,_T,_T,,1,0.01
2011,DC_ODA_BDVL,BI,_T,_T,_T,_T,,1,0.03
2012,DC_ODA_BDVL,BI,_T,_T,_T,_T,,1,0.1
2013,DC_ODA_BDVL,BI,_T,_T,_T,_T,,1,0.48
2014,DC_ODA_BDVL,BI,_T,_T,_T,_T,,1,0.13
