Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,TIME_DETAIL,Value
2013,D186,BI,_T,_T,_T,_T,Percent,2013,1.0
2014,D186,BI,_T,_T,_T,_T,Percent,2014,1.0
2015,D186,BI,_T,_T,_T,_T,Percent,2015,1.0
2016,D186,BI,_T,_T,_T,_T,Percent,2016,1.0
2017,D186,BI,_T,_T,_T,_T,Percent,2017,1.0
