Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2010,D180,BI,_T,_T,_T,_T,PT,0,2010,59.0
2011,D180,BI,_T,_T,_T,_T,PT,0,2011,51.2
2012,D180,BI,_T,_T,_T,_T,PT,0,2012,60.2
2013,D180,BI,_T,_T,_T,_T,PT,0,2013,51.4
2014,D180,BI,_T,_T,_T,_T,PT,0,2014,53.0
2015,D180,BI,_T,_T,_T,_T,PT,0,2015,61.2
2016,D180,BI,_T,_T,_T,_T,PT,0,2016,40.0
2017,D180,BI,_T,_T,_T,_T,PT,0,2017,54.0
