Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,TIME_DETAIL,Value
2010,D96,BI,_T,_T,_T,_T,,2010,50.0
2011,D96,BI,_T,_T,_T,_T,,2011,50.0
2012,D96,BI,_T,_T,_T,_T,,2012,50.0
2013,D96,BI,_T,_T,_T,_T,,2013,50.0
2014,D96,BI,_T,_T,_T,_T,,2014,50.0
2015,D96,BI,_T,_T,_T,_T,,2015,50.0
2016,D96,BI,_T,_T,_T,_T,,2016,80.0
2017,D96,BI,_T,_T,_T,_T,,2017,80.0
