Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2010,DC_TRF_TFDV,BI,_T,_T,_T,_T,,1,627.61
2011,DC_TRF_TFDV,BI,_T,_T,_T,_T,,1,572.24
2012,DC_TRF_TFDV,BI,_T,_T,_T,_T,,1,524.17
2013,DC_TRF_TFDV,BI,_T,_T,_T,_T,,1,558.83
2014,DC_TRF_TFDV,BI,_T,_T,_T,_T,,1,515.4
2015,DC_TRF_TFDV,BI,_T,_T,_T,_T,,1,366.54
