Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2015,D18,BI,_T,_T,_T,_T,tonne/travailleur,1,1.6
2015,D19,BI,_T,_T,_T,_T,UBT /travailleur,1,5.3
