Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,TIME_DETAIL,Value
2010,D107,BI,_T,_T,_T,_T,en USD,2010,7064361.0
2011,D107,BI,_T,_T,_T,_T,en USD,2011,9692826.0
2012,D107,BI,_T,_T,_T,_T,en USD,2012,3234742.0
2013,D107,BI,_T,_T,_T,_T,en USD,2013,2726301.0
2014,D107,BI,_T,_T,_T,_T,en USD,2014,270027.0
2015,D107,BI,_T,_T,_T,_T,en USD,2015,119421.0
