Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,TIME_DETAIL,Value
2017,SP_DYN_ADKL,BI,F,Y10T14,_T,_T,,2017,1.0
2010,SP_DYN_ADKL,BI,F,Y15T19,_T,_T,,2010,65.0
