Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,TIME_DETAIL,Value
2010,D42,BI,_T,_T,_T,_T,,2010,12.12
2012,D42,BI,_T,_T,_T,_T,,2012,9.19
2013,D42,BI,_T,_T,_T,_T,,2013,10.18
