Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2010,D16,BI,_T,_T,_T,_T,PT,0,2010,1.0
2011,D16,BI,_T,_T,_T,_T,PT,0,2011,1.0
2012,D16,BI,_T,_T,_T,_T,PT,0,2012,1.0
2013,D16,BI,_T,_T,_T,_T,PT,0,2013,1.0
2014,D16,BI,_T,_T,_T,_T,PT,0,2014,1.0
2015,D16,BI,_T,_T,_T,_T,PT,0,2015,1.0
2016,D16,BI,_T,_T,_T,_T,PT,0,2016,1.0
