Year,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2018,2018,NUMBER,SH_H2O_SAFE,0.0
2017,2017,NUMBER,SH_H2O_SAFE,93.82
2016,2016,NUMBER,SH_H2O_SAFE,93.84
2015,2015,NUMBER,SH_H2O_SAFE,93.87
2014,2014,NUMBER,SH_H2O_SAFE,93.9
