Year,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2005,2005,NUMBER,,15.8
2010,2010,NUMBER,,19.6
2014,2014,NUMBER,,12.9
2016,2016,NUMBER,,21.1
