Year,Area,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2016,URBAN,2016,EN_ATM_PM25,NUMBER,31.7
2016,ALLAREA,2016,EN_ATM_PM25,NUMBER,32.1
