Year,Sex,TIME_DETAIL,Value
2016,Total,2016,31.61
2016,Male,2016,32.11
2016,Female,2016,31.08
2017,Total,2017,33.98
2017,Male,2017,34.44
2017,Female,2017,33.51
2018,Total,2018,36.52
2018,Male,2018,37.08
2018,Female,2018,35.96
