Year,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2012,2012,NUMBER,,26.75
2013,2013,NUMBER,,28.15
2014,2014,NUMBER,,27.45
2015,2015,NUMBER,,26.74
2016,2016,NUMBER,,26.3
