Year,Sex,TIME_DETAIL,Value
2016,Total,2016,15.0
2016,Male,2016,18.0
2016,Female,2016,12.8
2017,Total,2017,15.7
2017,Male,2017,20.0
2017,Female,2017,12.2
2018,Total,2018,13.2
2018,Male,2018,17.5
2018,Female,2018,9.8
