Year,SEX,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2017,F,2017-18,NUMBER,,91.8
2017,M,2017-18,NUMBER,,88.6
2017,_T,2017-18,NUMBER,,90.2
