Year,SEX,TIME_DETAIL,SERIES,Value
2017,_T,2017,,4.2
2017,M,2017,,4.9
2017,F,2017,,3.6
2018,_T,2018,,7.2
2018,M,2018,,4.3
2018,F,2018,,2.2
