Year,Area,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2018,Area 1: overarching legal frameworks and public life,2018,NUMBER,SG_LGL_GENEQLFP,45.45
2018,Area 2: violence against women,2018,NUMBER,SG_LGL_GENEQLFP,33.33
2018,Area 3: employment and economic benefits,2018,NUMBER,SG_LGL_GENEQLFP,20.0
2018,Area 4: marriage and family,2018,NUMBER,SG_LGL_GENEQLFP,36.36
