Year,SEX,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2016,_T,2016,,,101.6
2016,M,2016,,,101.7
2016,F,2016,,,101.6
2017,_T,2017,,,103.6
2017,M,2017,,,103.8
2017,F,2017,,,103.3
2018,_T,2018,,,103.7
2018,M,2018,,,103.3
2018,F,2018,,,104.1
