Year,Plan,TIME_DETAIL,SERIES,Value
2017,Jordan has a national action plans for sustainable consumption and production are listed as a priority or goal in national policies,2017,SG_SCP_CNTRY,1
2017,Jordan has a coordination mechanism for sustainable consumption and production,2017,SG_SCP_CNTRY,1
2017,Jordan has a holistic and comprehensive policy for sustainable consumption and production,2017,SG_SCP_CNTRY,1
2017,Jordan has a tool to implement a sustainable consumption and production policy,2017,SG_SCP_CNTRY,1
