Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2012,D11,BI,_T,_T,_T,_T,PT,0,2012,12.5
2013,D11,BI,_T,_T,_T,_T,PT,0,2013,21.1
2014,D11,BI,_T,_T,_T,_T,PT,0,2014,22.0
