Year,seriesdescription,geoarea,sex,age,urbanization,education-level,wealth-quintile,unit,scale,Value
2000,SH_DYN_NMRT,ET,_T,M0,_T,_T,_T,per 1000 live births,1,49.0
2005,SH_DYN_NMRT,ET,_T,M0,_T,_T,_T,per 1000 live births,1,39.0
2011,SH_DYN_NMRT,ET,_T,M0,_T,_T,_T,per 1000 live births,1,37.0
