Year,TIME_DETAIL,SERIES,Value
2015,2015,SH_MED_DEN,2.07
2016,2016,SH_MED_DEN,2.0
2017,2017,SH_MED_DEN,2.5
2018,2018,SH_MED_DEN,2.21
2019,2019,SH_MED_DEN,2.7
