Year,SERIES,REF_AREA,SEX,AGE,location,disability,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2016,IT_MOB_OWN,UG,F,_T,_T,_T,PT,0,N,2016,45.5
2016,IT_MOB_OWN,UG,M,_T,_T,_T,PT,0,N,2016,65.8
2016,IT_MOB_OWN,UG,_T,_T,_T,_T,PT,0,N,2016,55.7
