Year,seriesdescription,geoarea,sex,age,urbanization,education-level,wealth-quintile,unit,TIME_DETAIL,Value
2016,IT_MOB_OWN,ET,F,_T,_T,_T,_T,Percent,2016,27.3
2016,IT_MOB_OWN,ET,M,_T,_T,_T,_T,Percent,2016,53.7
