Year,TIME_DETAIL,SERIES,Value
2014,2014,AG_PRD_FIESMS,445.4
2015,2015,AG_PRD_FIESMS,445.4
2016,2016,AG_PRD_FIESMS,200.0
2017,2017,AG_PRD_FIESMS,200.0
2018,2018,AG_PRD_FIESMS,200.0
