Year,seriesdescription,geoarea,sex,age,location,disability,unit,scale,Value
2011,SH_STA_STNT,UG,F,Y0T4,_T,_T,%,1,29.9
2011,SH_STA_STNT,UG,M,Y0T4,_T,_T,%,1,37.0
2011,SH_STA_STNT,UG,_T,Y0T4,_T,_T,%,1,33.0
