Year,SEX,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2015,M,West Bank,N,2015,SH_STA_TRAF,NUMBER,
2016,M,West Bank,N,2016,SH_STA_TRAF,NUMBER,
2017,M,West Bank,N,2017,SH_STA_TRAF,NUMBER,
2018,M,West Bank,N,2018,SH_STA_TRAF,NUMBER,
2019,M,West Bank,N,2019,SH_STA_TRAF,NUMBER,
2015,M,Gaza Strip,N,2015,SH_STA_TRAF,NUMBER,
2016,M,Gaza Strip,N,2016,SH_STA_TRAF,NUMBER,2.9
2017,M,Gaza Strip,N,2017,SH_STA_TRAF,NUMBER,2.9
2018,M,Gaza Strip,N,2018,SH_STA_TRAF,NUMBER,2.9
2019,M,Gaza Strip,N,2019,SH_STA_TRAF,NUMBER,
2015,M,PS,N,2015,SH_STA_TRAF,NUMBER,
2016,M,PS,N,2016,SH_STA_TRAF,NUMBER,
2017,M,PS,N,2017,SH_STA_TRAF,NUMBER,
2018,M,PS,N,2018,SH_STA_TRAF,NUMBER,
2019,M,PS,N,2019,SH_STA_TRAF,NUMBER,
2015,F,West Bank,N,2015,SH_STA_TRAF,NUMBER,
2016,F,West Bank,N,2016,SH_STA_TRAF,NUMBER,
2017,F,West Bank,N,2017,SH_STA_TRAF,NUMBER,
2018,F,West Bank,N,2018,SH_STA_TRAF,NUMBER,
2019,F,West Bank,N,2019,SH_STA_TRAF,NUMBER,
2015,F,Gaza Strip,N,2015,SH_STA_TRAF,NUMBER,
2016,F,Gaza Strip,N,2016,SH_STA_TRAF,NUMBER,4.2
2017,F,Gaza Strip,N,2017,SH_STA_TRAF,NUMBER,4.2
2018,F,Gaza Strip,N,2018,SH_STA_TRAF,NUMBER,4.2
2019,F,Gaza Strip,N,2019,SH_STA_TRAF,NUMBER,
2015,F,PS,N,2015,SH_STA_TRAF,NUMBER,
2016,F,PS,N,2016,SH_STA_TRAF,NUMBER,
2017,F,PS,N,2017,SH_STA_TRAF,NUMBER,
2018,F,PS,N,2018,SH_STA_TRAF,NUMBER,
2019,F,PS,N,2019,SH_STA_TRAF,NUMBER,
2015,_T,West Bank,N,2015,SH_STA_TRAF,NUMBER,
2016,_T,West Bank,N,2016,SH_STA_TRAF,NUMBER,5.7
2017,_T,West Bank,N,2017,SH_STA_TRAF,NUMBER,4.5
2018,_T,West Bank,N,2018,SH_STA_TRAF,NUMBER,4.3
2019,_T,West Bank,N,2019,SH_STA_TRAF,NUMBER,4.4
2015,_T,Gaza Strip,N,2015,SH_STA_TRAF,NUMBER,
2016,_T,Gaza Strip,N,2016,SH_STA_TRAF,NUMBER,4.7
2017,_T,Gaza Strip,N,2017,SH_STA_TRAF,NUMBER,4.2
2018,_T,Gaza Strip,N,2018,SH_STA_TRAF,NUMBER,2.9
2019,_T,Gaza Strip,N,2019,SH_STA_TRAF,NUMBER,3.3
2015,_T,PS,N,2015,SH_STA_TRAF,NUMBER,3.8
2016,_T,PS,N,2016,SH_STA_TRAF,NUMBER,5.3
2017,_T,PS,N,2017,SH_STA_TRAF,NUMBER,4.4
2018,_T,PS,N,2018,SH_STA_TRAF,NUMBER,3.7
2019,_T,PS,N,2019,SH_STA_TRAF,NUMBER,3.9
