Year,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2013,2013,NUMBER,,414.16
2014,2014,NUMBER,,266.24
2015,2015,NUMBER,,562.81
2016,2016,NUMBER,,621.86
2017,2017,NUMBER,,408.52
