Year,indicador-disponível,objectivo,meta,indicador,sériedescrição,província,sexo,idade,área-de-residência,nível-de-educação,ocupação,deficiência,composição-composta,quintil,unit,scale,Value
2011,G,2,2.2,2.2.2,SN_STA_OVWGT,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,7.4
2011,G,2,2.2,2.2.2,SN_STA_OVWGT,508,_T,_T,U,_T,_T,_T,_T,_T,Percent,1,8.2
2011,G,2,2.2,2.2.2,SN_STA_OVWGT,508,_T,_T,R,_T,_T,_T,_T,_T,Percent,1,7.1
2011,G,2,2.2,2.2.2,SN_STA_OVWGT,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,6.9
2011,G,2,2.2,2.2.2,SN_STA_OVWGT,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,6.4
2011,G,2,2.2,2.2.2,SN_STA_OVWGT,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,8.9
2011,G,2,2.2,2.2.2,SN_STA_OVWGT,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,4.6
2011,G,2,2.2,2.2.2,SN_STA_OVWGT,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,6.7
2011,G,2,2.2,2.2.2,SN_STA_OVWGT,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,10.3
2011,G,2,2.2,2.2.2,SN_STA_OVWGT,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,7.4
2011,G,2,2.2,2.2.2,SN_STA_OVWGT,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,10.8
2011,G,2,2.2,2.2.2,SN_STA_OVWGT,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,7.0
2011,G,2,2.2,2.2.2,SN_STA_OVWGT,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,9.5
2011,G,2,2.2,2.2.2,SN_STA_OVWGT,MZ6,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,8.6
2011,G,2,2.2,2.2.2,SH_STA_WAST,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,5.9
2011,G,2,2.2,2.2.2,SH_STA_WAST,508,_T,_T,U,_T,_T,_T,_T,_T,Percent,1,30.8
2011,G,2,2.2,2.2.2,SH_STA_WAST,508,_T,_T,R,_T,_T,_T,_T,_T,Percent,1,6.7
2011,G,2,2.2,2.2.2,SH_STA_WAST,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,3.7
2011,G,2,2.2,2.2.2,SH_STA_WAST,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,5.6
2011,G,2,2.2,2.2.2,SH_STA_WAST,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,6.5
2011,G,2,2.2,2.2.2,SH_STA_WAST,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,9.4
2011,G,2,2.2,2.2.2,SH_STA_WAST,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,5.6
2011,G,2,2.2,2.2.2,SH_STA_WAST,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,6.7
2011,G,2,2.2,2.2.2,SH_STA_WAST,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,7.4
2011,G,2,2.2,2.2.2,SH_STA_WAST,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,2.2
2011,G,2,2.2,2.2.2,SH_STA_WAST,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,1.0
2011,G,2,2.2,2.2.2,SH_STA_WAST,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,2.1
2011,G,2,2.2,2.2.2,SH_STA_WAST,MZ6,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,2.2
