Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2013,D186,BI,_T,_T,_T,_T,Percent,1,1.0
2014,D186,BI,_T,_T,_T,_T,Percent,1,1.0
2015,D186,BI,_T,_T,_T,_T,Percent,1,1.0
2016,D186,BI,_T,_T,_T,_T,Percent,1,1.0
2017,D186,BI,_T,_T,_T,_T,Percent,1,1.0
