Year,SEX,TIME_DETAIL,SERIES,Value
2016,_T,2016,SE_TOT_PRFL,95.35
2016,M,2016,SE_TOT_PRFL,94.99
2016,F,2016,SE_TOT_PRFL,95.72
2017,_T,2017,SE_TOT_PRFL,93.27
2017,M,2017,SE_TOT_PRFL,92.43
2017,F,2017,SE_TOT_PRFL,94.14
2018,_T,2018,SE_TOT_PRFL,94.7
2018,M,2018,SE_TOT_PRFL,94.54
2018,F,2018,SE_TOT_PRFL,94.87
