Year,SEX,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,M,West Bank,N,2000,VC_PRS_UNSNT,PT,
2001,M,West Bank,N,2001,VC_PRS_UNSNT,PT,
2002,M,West Bank,N,2002,VC_PRS_UNSNT,PT,
2003,M,West Bank,N,2003,VC_PRS_UNSNT,PT,
2004,M,West Bank,N,2004,VC_PRS_UNSNT,PT,
2005,M,West Bank,N,2005,VC_PRS_UNSNT,PT,
2006,M,West Bank,N,2006,VC_PRS_UNSNT,PT,
2007,M,West Bank,N,2007,VC_PRS_UNSNT,PT,74.3
2008,M,West Bank,N,2008,VC_PRS_UNSNT,PT,76.4
2009,M,West Bank,N,2009,VC_PRS_UNSNT,PT,68.3
2010,M,West Bank,N,2010,VC_PRS_UNSNT,PT,61.9
2011,M,West Bank,N,2011,VC_PRS_UNSNT,PT,56.6
2012,M,West Bank,N,2012,VC_PRS_UNSNT,PT,54.0
2013,M,West Bank,N,2013,VC_PRS_UNSNT,PT,53.0
2014,M,West Bank,N,2014,VC_PRS_UNSNT,PT,54.6
2015,M,West Bank,N,2015,VC_PRS_UNSNT,PT,54.9
2016,M,West Bank,N,2016,VC_PRS_UNSNT,PT,53.9
2017,M,West Bank,N,2017,VC_PRS_UNSNT,PT,51.7
2018,M,West Bank,N,2018,VC_PRS_UNSNT,PT,55.9
2019,M,West Bank,N,2019,VC_PRS_UNSNT,PT,55.0
2000,M,Gaza Strip,N,2000,VC_PRS_UNSNT,PT,
2001,M,Gaza Strip,N,2001,VC_PRS_UNSNT,PT,
2002,M,Gaza Strip,N,2002,VC_PRS_UNSNT,PT,
2003,M,Gaza Strip,N,2003,VC_PRS_UNSNT,PT,
2004,M,Gaza Strip,N,2004,VC_PRS_UNSNT,PT,
2005,M,Gaza Strip,N,2005,VC_PRS_UNSNT,PT,
2006,M,Gaza Strip,N,2006,VC_PRS_UNSNT,PT,
2007,M,Gaza Strip,N,2007,VC_PRS_UNSNT,PT,
2008,M,Gaza Strip,N,2008,VC_PRS_UNSNT,PT,
2009,M,Gaza Strip,N,2009,VC_PRS_UNSNT,PT,
2010,M,Gaza Strip,N,2010,VC_PRS_UNSNT,PT,
2011,M,Gaza Strip,N,2011,VC_PRS_UNSNT,PT,
2012,M,Gaza Strip,N,2012,VC_PRS_UNSNT,PT,
2013,M,Gaza Strip,N,2013,VC_PRS_UNSNT,PT,
2014,M,Gaza Strip,N,2014,VC_PRS_UNSNT,PT,
2015,M,Gaza Strip,N,2015,VC_PRS_UNSNT,PT,
2016,M,Gaza Strip,N,2016,VC_PRS_UNSNT,PT,
2017,M,Gaza Strip,N,2017,VC_PRS_UNSNT,PT,
2018,M,Gaza Strip,N,2018,VC_PRS_UNSNT,PT,
2019,M,Gaza Strip,N,2019,VC_PRS_UNSNT,PT,
2000,M,PS,N,2000,VC_PRS_UNSNT,PT,
2001,M,PS,N,2001,VC_PRS_UNSNT,PT,
2002,M,PS,N,2002,VC_PRS_UNSNT,PT,
2003,M,PS,N,2003,VC_PRS_UNSNT,PT,
2004,M,PS,N,2004,VC_PRS_UNSNT,PT,
2005,M,PS,N,2005,VC_PRS_UNSNT,PT,80.4
2006,M,PS,N,2006,VC_PRS_UNSNT,PT,78.9
2007,M,PS,N,2007,VC_PRS_UNSNT,PT,74.3
2008,M,PS,N,2008,VC_PRS_UNSNT,PT,76.4
2009,M,PS,N,2009,VC_PRS_UNSNT,PT,68.3
2010,M,PS,N,2010,VC_PRS_UNSNT,PT,61.9
2011,M,PS,N,2011,VC_PRS_UNSNT,PT,56.6
2012,M,PS,N,2012,VC_PRS_UNSNT,PT,54.0
2013,M,PS,N,2013,VC_PRS_UNSNT,PT,53.0
2014,M,PS,N,2014,VC_PRS_UNSNT,PT,54.6
2015,M,PS,N,2015,VC_PRS_UNSNT,PT,54.9
2016,M,PS,N,2016,VC_PRS_UNSNT,PT,53.9
2017,M,PS,N,2017,VC_PRS_UNSNT,PT,51.7
2018,M,PS,N,2018,VC_PRS_UNSNT,PT,
2019,M,PS,N,2019,VC_PRS_UNSNT,PT,
2000,F,West Bank,N,2000,VC_PRS_UNSNT,PT,
2001,F,West Bank,N,2001,VC_PRS_UNSNT,PT,
