Year,Value
2000,125.92
2001,327.35
2002,74.69
2003,78.81
2004,55.17
2005,47.97
2006,65.28
2007,47.05
2008,51.74
2009,48.94
2010,121.82
2011,102.5
2012,97.4
2013,75.05
2014,106.79
2015,114.75
2016,104.2
2017,102.9
