Year,Sub-indicators,TIME_DETAIL,SERIES,Value
2016,The contribution of the industrial sector from the gross domestic product at current prices,2016,NV_IND_MANF,5329.34
2017,The contribution of the industrial sector from the gross domestic product at current prices,2017,NV_IND_MANF,5545.21
2018,The contribution of the industrial sector from the gross domestic product at current prices,2018,NV_IND_MANF,5700.86
2016,Manufacturing value added per capita,2016,NV_IND_MANF,54.39
2017,Manufacturing value added per capita,2017,NV_IND_MANF,55.16
2018,Manufacturing value added per capita,2018,NV_IND_MANF,55.3
