Year,seriesdescription,geoarea,sex,age,location,disability,unit,scale,Value
2011,VC_VAW_MARR,UG,F,Y_GE15,_T,_T,%,1,15.4
2016,VC_VAW_PHYV,UG,F,Y_GE15,_T,_T,%,1,22.5
2016,VC_VAW_SEXV,UG,F,Y_GE15,_T,_T,%,1,16.6
2016,VC_VAW_PSYV,UG,F,Y_GE15,_T,_T,%,1,29.3
