Year,seriesdescription,geoarea,sex,age,location,disability,unit,TIME_DETAIL,Value
2016,SL_TLF_MANF,UG,F,_T,_T,_T,%,2016,8.1
2016,SL_TLF_MANF,UG,M,_T,_T,_T,%,2016,10.2
2016,SL_TLF_MANF,UG,_T,_T,_T,_T,%,2016,9.4
