Value,Disaggregation combinations using this value,Number of indicators
BOOL,15,13
IX,39,2
MIN,4,1
NUMBER,22,13
PER_1000_LIVE_BIRTHS,4,2
PER_1000_POP,5,2
PER_1000_UNINFECTED_POP,1,1
PER_100000_LIVE_BIRTHS,1,1
PER_100000_POP,6,5
PT,238,72
RO,1,1
T,2,1
USD,36,5
