Value,Disaggregation combinations using this value,Number of indicators
AG_LND_FRST,1,1
BX_TRF_PWKR,1,1
EG_ACS_ELEC,1,1
EN_H2O_WBAMBQ,1,1
ER_PTD_MTN,1,1
FB_ATM_TOTL,1,1
FB_BNK_ACCSS,1,1
FB_CBK_BRCH,1,1
FI_FSI_FSANL,1,1
FI_FSI_FSERA,1,1
FI_FSI_FSKA,1,1
FI_FSI_FSKNL,1,1
FI_FSI_FSKRTC,1,1
FI_FSI_FSLS,1,1
FI_FSI_FSSNO,1,1
GC_GOB_TAXD,1,1
GF_XPD_GBPC,1,1
GR_G14_GDP,1,1
IC_FRM_BRIB,1,1
IC_GEN_MGTL,1,1
IS_RDP_FRGVOL,1,1
IS_RDP_PFVOL,1,1
IS_TRP_MAILTKM,1,1
IT_MOB_2GNTWK,1,1
IT_MOB_3GNTWK,1,1
IT_MOB_4GNTWK,1,1
IT_MOB_OWN,3,1
IT_NET_BBND,1,1
IT_NET_BBNDN,1,1
_L_RW_010301_1,1,1
_L_RW_010301_2,1,1
_L_RW_010301_3,1,1
_L_RW_010301_4,1,1
_L_RW_010301_5,5,1
_L_RW_010301_6,1,1
_L_RW_010401_1,1,1
_L_RW_010401_2,1,1
_L_RW_010401_3,1,1
_L_RW_010401_4,1,1
_L_RW_020102_1,1,1
_L_RW_020102_2,1,1
_L_RW_020501_1,1,1
_L_RW_020501_2,1,1
_L_RW_020501_3,1,1
_L_RW_030702_1,1,1
_L_RW_030B01_1,1,1
_L_RW_030C01_1,1,1
_L_RW_030C01_2,1,1
_L_RW_040101_1,1,1
_L_RW_040101_2,1,1
_L_RW_040101_3,3,1
_L_RW_040101_4,3,1
_L_RW_040101_5,1,1
_L_RW_040101_6,1,1
_L_RW_040201_1,3,1
_L_RW_040201_2,3,1
_L_RW_040201_3,3,1
_L_RW_040201_4,1,1
_L_RW_040501_1,3,1
_L_RW_040501_2,3,1
_L_RW_040501_3,3,1
_L_RW_040501_4,3,1
_L_RW_040501_5,3,1
_L_RW_040501_6,3,1
_L_RW_040501_7,3,1
_L_RW_040501_8,3,1
_L_RW_040601_1,3,1
_L_RW_040601_2,3,1
_L_RW_050101_1,1,1
_L_RW_050201_1,1,1
_L_RW_050201_2,1,1
_L_RW_050201_3,1,1
_L_RW_050501_1,1,1
_L_RW_050501_10,1,1
_L_RW_050501_11,1,1
_L_RW_050501_12,1,1
_L_RW_050501_2,1,1
_L_RW_050501_3,1,1
_L_RW_050501_4,1,1
_L_RW_050501_5,1,1
_L_RW_050501_6,1,1
_L_RW_050501_7,1,1
_L_RW_050501_8,1,1
_L_RW_050501_9,1,1
_L_RW_050602_1,1,1
_L_RW_050A01_1,3,1
_L_RW_050A01_2,1,1
_L_RW_050A02_1,1,1
_L_RW_060101_1,1,1
_L_RW_060101_2,1,1
_L_RW_060101_3,1,1
_L_RW_060101_4,1,1
_L_RW_060201_1,1,1
_L_RW_060201_2,1,1
_L_RW_060502_1,1,1
_L_RW_060502_2,1,1
_L_RW_070102_1,3,1
_L_RW_070201_1,1,1
_L_RW_100702_1,1,1
_L_RW_110101_1,1,1
_L_RW_120701_1,1,1
_L_RW_150102_1,1,1
_L_RW_160103_1,2,1
_L_RW_160103_2,2,1
_L_RW_160501_1,1,1
_L_RW_160602_1,1,1
_L_RW_160702_1,1,1
_L_RW_161002_1,1,1
_L_RW_170401_1,1,1
_L_RW_170801_1,1,1
_L_RW_171101_1,1,1
NV_IND_MANF,1,1
NV_IND_MANFPC,1,1
NY_GDP_PCAP,1,1
SD_XPD_ESED,1,1
SE_ACC_HNDWSH,3,1
SE_ACS_CMPTR,2,1
SE_ACS_ELECT,3,1
SE_ACS_H2O,3,1
SE_ACS_INTNT,2,1
SE_ADT_ACTS,27,1
SE_ADT_EDUCTRN,3,1
SE_DEV_ONTRK,3,1
SE_GPI_PART,12,1
SE_INF_DSBL,3,1
SE_PRE_PARTN,3,1
SE_TRA_GRDL,9,1
SG_DSR_LEGREG,1,1
SG_DSR_SILS,3,3
SG_HAZ_CMRBASEL,1,1
SG_NHR_IMPLN,1,1
SG_REG_BRTH,1,1
SG_REG_BRTH90N,1,1
SG_REG_CENSUSN,1,1
SG_REG_DETH75N,1,1
SG_STT_FPOS,1,1
SG_STT_NSDSFND,1,1
SG_XPD_HLTH,1,1
SG_XPD_PROT,1,1
SH_ACS_DTP3,1,1
SH_ACS_MCV2,1,1
SH_ACS_PCV3,1,1
SH_DYN_MORT,3,1
SH_DYN_NMRT,1,1
SH_FPL_INFMRH,1,1
SH_FPL_MTMM,1,1
SH_HIV_INCD,1,1
SH_IHR_CAPS,13,1
SH_MED_DEN,2,1
SH_PRV_SMOK,1,1
