Year,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,2000,DC_TOF_HLTHL,,20.92
2001,2001,DC_TOF_HLTHL,,10.17
2002,2002,DC_TOF_HLTHL,,17.92
2003,2003,DC_TOF_HLTHL,,21.97
2004,2004,DC_TOF_HLTHL,,45.22
2005,2005,DC_TOF_HLTHL,,41.82
2006,2006,DC_TOF_HLTHL,,64.7
2007,2007,DC_TOF_HLTHL,,57.55
2008,2008,DC_TOF_HLTHL,,66.94
2009,2009,DC_TOF_HLTHL,,69.71
2010,2010,DC_TOF_HLTHL,,71.72
2011,2011,DC_TOF_HLTHL,,65.4
2012,2012,DC_TOF_HLTHL,,71.79
2013,2013,DC_TOF_HLTHL,,57.35
2014,2014,DC_TOF_HLTHL,,69.59
2015,2015,DC_TOF_HLTHL,,114.65
2016,2016,DC_TOF_HLTHL,,87.4
2017,2017,DC_TOF_HLTHL,,161.58
2018,2018,DC_TOF_HLTHL,,121.62
