Year,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2000,2000,NUMBER,BX_TRF_PWKR,20.2
2001,2001,NUMBER,BX_TRF_PWKR,20.4
2002,2002,NUMBER,BX_TRF_PWKR,22.0
2003,2003,NUMBER,BX_TRF_PWKR,8.2
2004,2004,NUMBER,BX_TRF_PWKR,9.4
2005,2005,NUMBER,BX_TRF_PWKR,8.5
2006,2006,NUMBER,BX_TRF_PWKR,9.5
2007,2007,NUMBER,BX_TRF_PWKR,11.0
2008,2008,NUMBER,BX_TRF_PWKR,11.2
2009,2009,NUMBER,BX_TRF_PWKR,10.5
2010,2010,NUMBER,BX_TRF_PWKR,10.6
2011,2011,NUMBER,BX_TRF_PWKR,11.0
2012,2012,NUMBER,BX_TRF_PWKR,15.5
2013,2013,NUMBER,BX_TRF_PWKR,12.2
2014,2014,NUMBER,BX_TRF_PWKR,14.4
2015,2015,NUMBER,BX_TRF_PWKR,14.6
2016,2016,NUMBER,BX_TRF_PWKR,15.7
2017,2017,NUMBER,BX_TRF_PWKR,14.9
2018,2018,NUMBER,BX_TRF_PWKR,19.6
2019,2019,NUMBER,BX_TRF_PWKR,15.8
