Year,seriesdescription,geoarea,sex,age,urbanisation,unit,scale,Value
2019,VC_SNS_WALN,716,F,_T,_T,Percent,1,47.9
2019,VC_SNS_WALN,716,M,_T,_T,Percent,1,82.8
