Year,SEX,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,M,West Bank,N,2000,IC_GEN_MGTL,PT,
2001,M,West Bank,N,2001,IC_GEN_MGTL,PT,
2002,M,West Bank,N,2002,IC_GEN_MGTL,PT,
2003,M,West Bank,N,2003,IC_GEN_MGTL,PT,
2004,M,West Bank,N,2004,IC_GEN_MGTL,PT,
2005,M,West Bank,N,2005,IC_GEN_MGTL,PT,
2006,M,West Bank,N,2006,IC_GEN_MGTL,PT,
2007,M,West Bank,N,2007,IC_GEN_MGTL,PT,
2008,M,West Bank,N,2008,IC_GEN_MGTL,PT,
2009,M,West Bank,N,2009,IC_GEN_MGTL,PT,
2010,M,West Bank,N,2010,IC_GEN_MGTL,PT,
2011,M,West Bank,N,2011,IC_GEN_MGTL,PT,
2012,M,West Bank,N,2012,IC_GEN_MGTL,PT,
2013,M,West Bank,N,2013,IC_GEN_MGTL,PT,
2014,M,West Bank,N,2014,IC_GEN_MGTL,PT,
2015,M,West Bank,N,2015,IC_GEN_MGTL,PT,
2016,M,West Bank,N,2016,IC_GEN_MGTL,PT,
2017,M,West Bank,N,2017,IC_GEN_MGTL,PT,
2018,M,West Bank,N,2018,IC_GEN_MGTL,PT,
2019,M,West Bank,N,2019,IC_GEN_MGTL,PT,
2000,M,Gaza Strip,N,2000,IC_GEN_MGTL,PT,
2001,M,Gaza Strip,N,2001,IC_GEN_MGTL,PT,
2002,M,Gaza Strip,N,2002,IC_GEN_MGTL,PT,
2003,M,Gaza Strip,N,2003,IC_GEN_MGTL,PT,
2004,M,Gaza Strip,N,2004,IC_GEN_MGTL,PT,
2005,M,Gaza Strip,N,2005,IC_GEN_MGTL,PT,
2006,M,Gaza Strip,N,2006,IC_GEN_MGTL,PT,
2007,M,Gaza Strip,N,2007,IC_GEN_MGTL,PT,
2008,M,Gaza Strip,N,2008,IC_GEN_MGTL,PT,
2009,M,Gaza Strip,N,2009,IC_GEN_MGTL,PT,
2010,M,Gaza Strip,N,2010,IC_GEN_MGTL,PT,
2011,M,Gaza Strip,N,2011,IC_GEN_MGTL,PT,
2012,M,Gaza Strip,N,2012,IC_GEN_MGTL,PT,
2013,M,Gaza Strip,N,2013,IC_GEN_MGTL,PT,
2014,M,Gaza Strip,N,2014,IC_GEN_MGTL,PT,
2015,M,Gaza Strip,N,2015,IC_GEN_MGTL,PT,
2016,M,Gaza Strip,N,2016,IC_GEN_MGTL,PT,
2017,M,Gaza Strip,N,2017,IC_GEN_MGTL,PT,
2018,M,Gaza Strip,N,2018,IC_GEN_MGTL,PT,
2019,M,Gaza Strip,N,2019,IC_GEN_MGTL,PT,
2000,M,PS,N,2000,IC_GEN_MGTL,PT,76.9
2001,M,PS,N,2001,IC_GEN_MGTL,PT,77.0
2002,M,PS,N,2002,IC_GEN_MGTL,PT,80.3
2003,M,PS,N,2003,IC_GEN_MGTL,PT,76.3
2004,M,PS,N,2004,IC_GEN_MGTL,PT,79.9
2005,M,PS,N,2005,IC_GEN_MGTL,PT,78.0
2006,M,PS,N,2006,IC_GEN_MGTL,PT,78.9
2007,M,PS,N,2007,IC_GEN_MGTL,PT,81.6
2008,M,PS,N,2008,IC_GEN_MGTL,PT,81.0
2009,M,PS,N,2009,IC_GEN_MGTL,PT,77.0
2010,M,PS,N,2010,IC_GEN_MGTL,PT,78.3
2011,M,PS,N,2011,IC_GEN_MGTL,PT,77.2
2012,M,PS,N,2012,IC_GEN_MGTL,PT,84.6
2013,M,PS,N,2013,IC_GEN_MGTL,PT,83.8
2014,M,PS,N,2014,IC_GEN_MGTL,PT,83.4
2015,M,PS,N,2015,IC_GEN_MGTL,PT,83.7
2016,M,PS,N,2016,IC_GEN_MGTL,PT,80.6
2017,M,PS,N,2017,IC_GEN_MGTL,PT,84.3
2018,M,PS,N,2018,IC_GEN_MGTL,PT,82.6
2019,M,PS,N,2019,IC_GEN_MGTL,PT,97.8
2000,F,West Bank,N,2000,IC_GEN_MGTL,PT,
2001,F,West Bank,N,2001,IC_GEN_MGTL,PT,
2002,F,West Bank,N,2002,IC_GEN_MGTL,PT,
2003,F,West Bank,N,2003,IC_GEN_MGTL,PT,
2004,F,West Bank,N,2004,IC_GEN_MGTL,PT,
2005,F,West Bank,N,2005,IC_GEN_MGTL,PT,
2006,F,West Bank,N,2006,IC_GEN_MGTL,PT,
2007,F,West Bank,N,2007,IC_GEN_MGTL,PT,
2008,F,West Bank,N,2008,IC_GEN_MGTL,PT,
2009,F,West Bank,N,2009,IC_GEN_MGTL,PT,
2010,F,West Bank,N,2010,IC_GEN_MGTL,PT,
2011,F,West Bank,N,2011,IC_GEN_MGTL,PT,
2012,F,West Bank,N,2012,IC_GEN_MGTL,PT,
2013,F,West Bank,N,2013,IC_GEN_MGTL,PT,
2014,F,West Bank,N,2014,IC_GEN_MGTL,PT,
2015,F,West Bank,N,2015,IC_GEN_MGTL,PT,
2016,F,West Bank,N,2016,IC_GEN_MGTL,PT,
2017,F,West Bank,N,2017,IC_GEN_MGTL,PT,
